url,category_code,category_description,date_added,source,notes,
appzplanet.com,FILE,File-sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
apt.ch,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
arabhra.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
arabnews.com,NEWS,News Media,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
arabrenewal.com,MILX,Terrorism and Militants,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
arabtimes.com,NEWS,News Media,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
ariannelingerie.com,PROV,Provocative Attire,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
army.mil,GOVT,Government,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
article19.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
aseansec.org,GOVT,Government,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
ask.com,SRCH,Search Engines,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
askmoses.com,REL,Religion,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
asterisk.org,COMT,Communication Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
atheistalliance.org,REL,Religion,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
atheists.org,REL,Religion,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
atimes.com,NEWS,News Media,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
auduboninternational.org,ENV,Environment,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
avert.org,PUBH,Public Health,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
awid.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
bacardi.com,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
backtrack-linux.org,HACK,Hacking Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
babylon-x.com,PORN,Pornography,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
bacardi.com,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
backtrack-linux.org,HACK,Hacking Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
bahai.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
baidu.com,SRCH,Search Engines,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
barmeister.com,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
barnesandnoble.com,COMM,E-commerce,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
bat.com,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
bbc.com/news,NEWS,News Media,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
bearshare.com,FILE,File-sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
beer.com,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
beerinfo.com,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
belmont.ag,GMB,Gambling,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
benedelman.org,NEWS,News Media,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
betfair.com,GMB,Gambling,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
bfed.info,HATE,Hate Speech,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
bglad.com,LGBT,LGBT,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
binance.com,COMM,E-commerce,2018-11-15,blockchain,Initial tracking of cryptocurrencies on 2018-11-15. Cryptocurrency exchange,
bing.com,SRCH,Search Engines,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
birthcontrol.com,XED,Sex Education,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
bitcomet.com,FILE,File-sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
bitfinex.com,COMM,E-commerce,2018-11-15,blockchain,Initial tracking of cryptocurrencies on 2018-11-15. Cryptocurrency exchange,
bittorrent.com,MMED,Media sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
biz.ly,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
blackhat.be,HACK,Hacking Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
blackjackinfo.com,GMB,Gambling,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
blacksandjews.com/Welcome.html,HATE,Hate Speech,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
blizzard.com,GAME,Gaming,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
blogeasy.com,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
blogger.com,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
blogsome.com,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
blubster.com,FILE,File-sharing,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
bme.com,CULTR,Culture,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
breastenlargementmagazine.com,PUBH,Public Health,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
brinkster.com,HOST,Hosting and Blogging Platforms,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
broadvoice.com,COMT,Communication Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
brookings.edu,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
btselem.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
buddhanet.net,REL,Religion,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
budweiser.com,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
buydutchseeds.com,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
callserve.com,COMT,Communication Tools,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
cannabis.info,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
cannaweed.com,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
caritas.org,REL,Religion,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
carnivalcasino.com,GMB,Gambling,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
casinotropez.com,GMB,Gambling,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
catholic.org,HUMR,Human Rights Issues,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
catholicsforchoice.org,XED,Sex Education,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
cbc.ca,NEWS,News Media,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
cbsnews.com,NEWS,News Media,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
ccel.org,REL,Religion,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
cdc.gov,PUBH,Public Health,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
ceceurope.org,REL,Religion,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
centcom.mil,GOVT,Government,2014-04-15,citizenlab,Updated by OONI on 2017-02-14,
